Address,City,County Name,Healthcare Personnel Influenza Vaccination\x0;,Hospital Name,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Provider Number,State,ZIP Code,% Patients discharged on multiple antipsychotic medications with appropriate justification\x0;,% Post discharge continuing care plan created,% Post discharge continuing care plan transmitted to next level of careprovider upon discharge,Number of Records,Physical-restraint use\x0;ratio (hrs),Post-discharge care,Seclusion ratio (hrs)
52 SERGEANT PRENTISS DRIVE,NATCHEZ,Adams,90,MERIT HEALTH NATCHEZ,30.00%,250084,MS,39120,,0.8497,0.7746,1,0,Lowest,0
HIGHWAY 8 EAST,CLEVELAND,Bolivar,88,BOLIVAR MEDICAL CENTER,52.17%,250093,MS,38732,95.12,0.9959,0.9959,1,0,Lowest,0
130 HIGHLAND PKWY,PICAYUNE,Pearl River,59,HIGHLAND COMMUNITY  HOSPITAL,48.89%,250117,MS,39466,94.44,1,0.9167,1,0,Lowest,0
5001 W HARDY ST,HATTIESBURG,Lamar,Not Available,MERIT HEALTH WESLEY,Not Available,250094,MS,39402,,,,1,,Lowest,
350 CROSSGATES BLVD,BRANDON,Rankin,68,CROSSGATES RIVER OAKS HOSPITAL,40.00%,250096,MS,39042,,1,1,1,0,Lowest,0
1401 RIVER RD / PO BOX 1410,GREENWOOD,Leflore,97,GREENWOOD LEFLORE HOSPITAL,40.00%,250099,MS,38930,,0.872,0.8415,1,0,Lowest,0
2520 5TH ST N,COLUMBUS,Lowndes,98,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,38.46%,250100,MS,39703,,0.9749,0.9724,1,0,Lowest,1.01
1225 N STATE ST,JACKSON,Hinds,100,MISSISSIPPI BAPTIST MEDICAL CENTER,40.48%,250102,MS,39202,,0.9248,0.8363,1,0,Lowest,0
15200 COMMUNITY ROAD,GULFPORT,Harrison,89,GARDEN PARK MEDICAL CENTER,52.78%,250123,MS,39503,,1,1,1,0,Lowest,0
401 GETWELL DR,SENATOBIA,Tate,100,NORTH OAK REGIONAL MEDICAL CENTER,Not Available,250126,MS,38668,,1,1,1,0,Lowest,0
303 MEDICAL CENTER DRIVE,BATESVILLE,Panola,Not Available,MERIT HEALTH BATESVILLE,33.33%,250128,MS,38606,,0.9454,0.9454,1,0,Lowest,0
5000 HIGHWAY 39 NORTH,MERIDIAN,Lauderdale,90,ALLIANCE HEALTH CENTER,51.71%,250151,MS,39301,,0.9445,0.8247,1,0.01,Lowest,0.17
347 MAGNOLIA DRIVE,RALEIGH,Smith,Not Available,PATIENTS CHOICE MEDICAL CENTER,74.36%,250163,MS,39153,100,1,1,1,0,Lowest,0
960 AVENT DRIVE,GRENADA,Grenada,100,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,54.17%,250168,MS,38901,100,1,1,1,0,Lowest,0
330 N BROAD STREET,FOREST,Scott,Not Available,LACKEY MEMORIAL HOSPITAL,67.50%,251300,MS,39074,,0.6709,0.6624,1,0,Lowest,0
400 S CHESTNUT STREET,ABERDEEN,Monroe,60,PIONEER COMMUNITY HOSPITAL OF ABERDEEN,Not Available,251302,MS,39730,100,1,1,1,0,Lowest,0
1842 SIMPSON HIGHWAY 149,MENDENHALL,Simpson,40,SIMPSON GENERAL HOSPITAL CAH,51.22%,251317,MS,39114,60.87,0.9934,0.9934,1,0,Lowest,0
840 NORTH OAK AVENUE/PO BOX 369,RULEVILLE,Not Available,73,NORTH SUNFLOWER MEDICAL CENTER CAH,48.48%,251318,MS,38771,100,1,1,1,0,Lowest,0
123 MCCOMB AVENUE,PORT GIBSON,Claiborne,39,CLAIBORNE COUNTY HOSPITAL,59.62%,251320,MS,39150,97.22,0.6739,0.6594,1,0,Lowest,0
1102 ROSE STREET,PRENTISS,Jefferson Davis,Not Available,JEFFERSON DAVIS GENERAL HOSPITAL,Not Available,251326,MS,39474,,1,0.8917,1,0,Lowest,0
1005 CITY AVE NORTH,RIPLEY,Tippah,Not Available,TIPPAH COUNTY HOSPITAL,Not Available,251337,MS,38663,100,0.9355,0.5161,1,0,Lowest,0
8135 GOODMAN ROAD,OLIVE BRANCH,DeSoto,47,PARKWOOD BEHAVIORAL HEALTH SYSTEM,39.75%,254005,MS,38654,,0.9645,0.9208,1,0.07,Lowest,0
3531 EAST LAKELAND DRIVE,FLOWOOD,Rankin,82,BRENTWOOD BEHAVIORAL HEALTHCARE OF MS,55.36%,254007,MS,39232,,0.9966,0.9366,1,0.02,Lowest,0.05
823 HIGHWAY 589,PURVIS,Lamar,55,SOUTH MISSISSIPPI STATE HOSPITAL,51.94%,254008,MS,39475,34.31,0.9452,0.9178,1,0.13,Lowest,0.25
1937 BRIAR RIDGE RD,TUPELO,Lee,84,NORTH MISSISSIPPI STATE HOSPITAL,20.59%,254009,MS,38804,92.11,0.982,0.944,1,0.2,Lowest,0.57
3550 HIGHWAY 468 WEST,WHITFIELD,Rankin,35,MS STATE HOSPITAL-WHITFIELD,Not Available,254010,MS,39193,80.43,0.9253,0.9033,1,0.11,Lowest,0.5
300 1ST CAPITOL DR,SAINT CHARLES,Not Available,95,SSM ST JOSEPH HEALTH CENTER,51.16%,260005,MO,63301,71.82,0.8321,0.7955,1,0.18,Lowest,0.08
1301 1ST ST,KENNETT,Not Available,Not Available,TWIN RIVERS REGIONAL MEDICAL CENTER,68.18%,260015,MO,63857,,0.7431,0.6147,1,0.02,Lowest,0
1000 W 10TH ST,ROLLA,Phelps,96,PHELPS COUNTY REGIONAL MEDICAL CENTER,56.25%,260017,MO,65401,,0.4741,0.3405,1,0,Lowest,0
615 S NEW BALLAS RD,SAINT LOUIS,Not Available,93,MERCY HOSPITAL ST LOUIS,63.17%,260020,MO,63141,,0.6286,0.4779,1,0.24,Lowest,0.08
1400 US HIGHWAY 61,CRYSTAL CITY,Jefferson,97,MERCY HOSPITAL JEFFERSON,47.40%,260023,MO,63019,,0.6108,0.494,1,0.28,Lowest,0
2316 E MEYER BLVD,KANSAS CITY,Jackson,71,RESEARCH MEDICAL CENTER,60.68%,260027,MO,64132,95,0.9913,0.9913,1,0.01,Lowest,0
1 BARNES HOSPITAL PLAZA,SAINT LOUIS,Not Available,Not Available,BARNES JEWISH HOSPITAL,50.50%,260032,MO,63110,,0.9126,0.8476,1,0.03,Lowest,0
1423 NORTH JEFFERSON AVENUE,SPRINGFIELD,Greene,100,COX MEDICAL CENTERS,60.92%,260040,MO,65802,,0.6684,0.1624,1,0.21,Lowest,0.42
2016 S MAIN ST,MARYVILLE,Not Available,91,SSM ST FRANCIS HOSPITAL & HEALTH SERVICES,86.67%,260050,MO,64468,,0.8757,0.8516,1,0.27,Lowest,0
1600 E EVERGREEN ST PO BOX 557,CAMERON,Not Available,100,CAMERON REGIONAL MEDICAL CENTER,61.11%,260057,MO,64429,,0.6714,0.6714,1,,Lowest,
800 S ASH ST,NEVADA,Not Available,98,NEVADA REGIONAL MEDICAL CENTER,55.64%,260061,MO,64772,,0.9912,0.8129,1,0.76,Lowest,0
5830 N W BARRY ROAD,KANSAS CITY,Platte,92,SAINT LUKES NORTHLAND HOSPITAL,63.85%,260062,MO,64154,,0.6213,0.6095,1,0.57,Lowest,0
PO BOX 489 HWY 61 AND EAST REED,HAYTI,Not Available,27,PEMISCOT COUNTY MEMORIAL HOSPITAL,53.44%,260070,MO,63851,9.27,0.5189,0.409,1,0,Lowest,0
1515 UNION AVE,MOBERLY,Not Available,Not Available,MOBERLY REGIONAL MEDICAL CENTER,53.49%,260074,MO,65270,,1,1,1,0,Lowest,0.12
10010 KENNERLY RD,SAINT LOUIS,Not Available,98,ST ANTHONY'S MEDICAL CENTER,53.08%,260077,MO,63128,,0.271,0.1871,1,0.11,Lowest,0.07
6420 CLAYTON RD,RICHMOND HEIGHTS,Not Available,92,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,40.28%,260091,MO,63117,,0.8558,0.794,1,0.02,Lowest,0.02
12303 DEPAUL DR,BRIDGETON,Not Available,91,SSM DEPAUL HEALTH CENTER,45.99%,260104,MO,63044,43.33,0.9138,0.8472,1,0.15,Lowest,0
3635 VISTA AVE PO BOX 15250,SAINT LOUIS,Not Available,98,ST LOUIS UNIVERSITY HOSPITAL,48.53%,260105,MO,63110,,0.8642,0.5273,1,0.28,Lowest,0.46
1701 LACEY ST,CAPE GIRARDEAU,Not Available,100,SOUTHEASTHEALTH,64.71%,260110,MO,63701,,0.9895,0.9424,1,0.08,Lowest,0.04
1008 NORTH MAIN ST,SIKESTON,Scott,100,MISSOURI DELTA MEDICAL CENTER,72.55%,260113,MO,63801,60,0.9712,0.9381,1,0,Lowest,0
1102 W 32ND ST,JOPLIN,Not Available,Not Available,FREEMAN HEALTH SYSTEM-FREEMAN WEST,48.00%,260137,MO,64804,,0.75,0.7466,1,0,Lowest,0.37
1 HOSPITAL DR RM CE121 DC 031.00,COLUMBIA,Not Available,99,UNIVERSITY OF MISSOURI HOSPITAL & CLINICS,60.57%,260141,MO,65201,41.56,0.0342,0.0325,1,2.72,Lowest,0.63
PO BOX 250 2305 S 65 HIGHWAY,MARSHALL,Not Available,100,FITZGIBBON MEMORIAL HOSPITAL,63.89%,260142,MO,65340,,0.7319,0.2359,1,0.4,Lowest,0
1101 W LIBERTY ST,FARMINGTON,Not Available,81,PARKLAND HEALTH CENTER,45.45%,260163,MO,63640,,0.5385,0.4,1,0,Lowest,0
1500 N OAKLAND AVE,BOLIVAR,Not Available,87,CITIZENS MEMORIAL HOSPITAL,53.57%,260195,MO,65613,,0.9681,0.9167,1,0,Lowest,0.09
10 S HOSPITAL DR,FULTON,Not Available,90,FULTON MEDICAL CENTER LLC,80.00%,260209,MO,65251,0,0,0,1,0.01,Lowest,0
3933 S BROADWAY,SAINT LOUIS,Not Available,87,ST ALEXIUS HOSPITAL,43.33%,260210,MO,63118,14.62,0,0,1,0.1,Lowest,1.05
1926 OAK STREET PO BOX 389,UNIONVILLE,Not Available,72,PUTNAM COUNTY MEMORIAL HOSPITAL,70.83%,261305,MO,63565,100,1,0.8936,1,0.16,Lowest,0
CASS REGIONAL MEDICAL CENTER 2800 E ROCK HAVEN RD,HARRISONVILLE,Not Available,94,CASS MEDICAL CENTER,Not Available,261324,MO,64701,,0.6957,0.6304,1,0,Lowest,0
751 SAPPINGTON BRIDGE RD,SULLIVAN,Not Available,85,MISSOURI BAPTIST SULLIVAN HOSPITAL,54.05%,261337,MO,63080,,0.8837,0.794,1,0,Lowest,0
600 E 5TH ST,FULTON,Callaway,100,FULTON STATE HOSPITAL,Not Available,264004,MO,65251,,,,1,1.61,Lowest,0.09
1010 WEST COLUMBIA STREET,FARMINGTON,Saint Francois,99,SOUTHEAST MISSOURI MENTAL HLTH CTR,Not Available,264005,MO,63640,,1,1,1,0.14,Lowest,0.01
3505 FREDERICK AVE,SAINT JOSEPH,Not Available,100,NORTHWEST MO PSYCHIATRIC REHAB CTR,Not Available,264007,MO,64506,,0.9167,0.9167,1,0.65,Lowest,0.6
1000 E 24TH STREET,KANSAS CITY,Jackson,99,CENTER FOR BEHAVIORAL MEDICINE,Not Available,264008,MO,64108,,1,1,1,0.09,Lowest,0.02
5400 ARSENAL ST,SAINT LOUIS,Saint Louis City,99,ST LOUIS PSYCHIATRIC REHAB CENTER,Not Available,264010,MO,63139,,,,1,0.12,Lowest,0
4801 WELDON SPRING PARKWAY,SAINT CHARLES,Not Available,87,CENTERPOINTE HOSPITAL,71.84%,264012,MO,63304,84.31,0.9526,0.8799,1,0.28,Lowest,0.07
5121 RAYTOWN ROAD,KANSAS CITY,Jackson,85,TWO RIVERS BEHAVIORAL HEALTH SYSTEM,61.26%,264017,MO,64133,,0.9608,0.9284,1,0.08,Lowest,0.02
10918 ELM AVE,KANSAS CITY,Not Available,99,CRITTENTON CHILDREN'S CENTER,Not Available,264018,MO,64134,100,0.9857,0.9779,1,0.01,Lowest,0.18
307 N MAIN ST,WINDSOR,Not Available,99,ROYAL OAKS HOSPITAL,55.26%,264020,MO,65360,,0.9957,0.9298,1,0.74,Lowest,0.14
440 S MARKET,SPRINGFIELD,Greene,64,LAKELAND BEHAVIORAL HEALTH SYSTEM,Not Available,264024,MO,65806,,0.9931,0.9828,1,0.09,Lowest,0.89
5351 DELMAR BLVD,SAINT LOUIS,Not Available,100,METROPOLITAN ST LOUIS PSYCHIATRIC CTR,Not Available,264025,MO,63112,,0.9583,0.9583,1,0.49,Lowest,0.04
2900 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,Clay,82,SIGNATURE PSYCHIATRIC HOSPITAL,59.70%,264030,MO,64116,,0.9749,0.9122,1,0.01,Lowest,0.01
840 PASSOVER RD,OSAGE BEACH,Camden,Not Available,OSAGE BEACH CENTER FOR COGNITIVE DISORDERS,Not Available,264031,MO,65065,,0.9825,0.9561,1,0.01,Lowest,0
2475 BROADWAY,HELENA,Lewis and Clark,84,ST PETER'S HOSPITAL,63.49%,270003,MT,59601,,0.8338,0.7749,1,0,Lowest,0
1101 26TH ST. S.,GREAT FALLS,Cascade,95,BENEFIS HOSPITALS INC,63.77%,270012,MT,59405,,0.9729,0.9593,1,0,Lowest,0
500 W BROADWAY PO BOX 4587,MISSOULA,Missoula,76,ST. PATRICK HOSPITAL,68.69%,270014,MT,59802,100,0.8927,0.8738,1,0.09,Lowest,0.02
2755 COLONIAL DR,HELENA,Lewis and Clark,81,SHODAIR CHILDREN'S HOSPITAL,Not Available,274004,MT,59601,92.31,0.9654,0.8995,1,0.22,Lowest,0.67
100 GARNET WAY,WARM SPRINGS,Deer Lodge,31,MONTANA STATE HOSPITAL,67.74%,274086,MT,59756,17.53,0.8103,0.7773,1,0.12,Lowest,0.72
1600 SOUTH 48TH ST,LINCOLN,Lancaster,97,BRYAN MEDICAL CENTER,65.89%,280003,NE,68506,92.45,0.9814,0.9567,1,0.01,Lowest,0.05
"P O BOX 1990, 10 EAST 31ST ST ",KEARNEY,Buffalo,99,CHI HEALTH GOOD SAMARITAN,57.33%,280009,NE,68848,92.31,0.8483,0.8458,1,0.02,Lowest,0.08
987400 NEBRASKA MEDICAL CENTER,OMAHA,Douglas,90,THE NEBRASKA MEDICAL CENTER,70.37%,280013,NE,68198,,0.8962,0.8852,1,0.14,Lowest,0.14
715 N ST JOSEPH AVE,HASTINGS,Adams,98,MARY LANNING HEALTHCARE,68.42%,280032,NE,68901,81.4,0.8923,0.8654,1,0.03,Lowest,0.08
4021 AVE B,SCOTTSBLUFF,Scotts Bluff,96,REGIONAL WEST MEDICAL CENTER,61.11%,280061,NE,69361,,0.6621,0.6498,1,0.27,Lowest,0.4
601 WEST LEOTA STREET PO BOX 1167,NORTH PLATTE,Lincoln,95,GREAT PLAINS HEALTH,85.23%,280065,NE,69101,,0.9237,0.8394,1,0.47,Lowest,0.31
6901 NORTH 72ND ST P.O. BOX 34439,OMAHA,Douglas,100,CHI HEALTH IMMANUEL,68.89%,280081,NE,68122,,0.9778,0.9668,1,0.01,Lowest,0
1900 F STREET P O BOX 193,GENEVA,Fillmore,74,FILLMORE COUNTY HOSPITAL,Not Available,281301,NE,68361,,0.6296,0.6296,1,0,Lowest,0
PO BOX 94949 FOLSOM & WEST PROSPECTOR,LINCOLN,Lancaster,82,LINCOLN REGIONAL CENTER,Not Available,284003,NE,68509,88.46,1,1,1,0.32,Lowest,0.45
4102 WOOLWORTH AVE,OMAHA,Douglas,55,DOUGLAS COUNTY HEALTH CENTER,59.26%,284009,NE,68105,96.97,0.9679,0.7694,1,0.06,Lowest,0.1
1409 EAST LAKE MEAD BLVD,NORTH LAS VEGAS,Clark,71,NORTH VISTA HOSPITAL,18.12%,290005,NV,89030,93.98,0.9867,0.9773,1,0.11,Lowest,0
1600 MEDICAL PARKWAY,CARSON CITY,Carson City,97,CARSON TAHOE REGIONAL MEDICAL CENTER,58.49%,290019,NV,89703,,0.7375,0.6292,1,0,Lowest,0
2075 EAST FLAMINGO ROAD,LAS VEGAS,Clark,92,DESERT SPRINGS HOSPITAL,28.57%,290022,NV,89119,,0.9924,0.9646,1,0,Lowest,0
2375 PRATER WAY,SPARKS,Washoe,77,NORTHERN NEVADA MEDICAL CENTER,32.35%,290032,NV,89434,,1,1,1,0.03,Lowest,0
9300 WEST SUNSET ROAD,LAS VEGAS,Clark,81,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,26.92%,290047,NV,89148,,1,0.9942,1,0,Lowest,0
901 ADAMS BLVD,BOULDER CITY,Clark,81,BOULDER CITY HOSPITAL,Not Available,291309,NV,89005,100,1,1,1,0.16,Lowest,0.11
480 GALLETTI WAY,SPARKS,Washoe,62,DINI-TOWNSEND HOSPITAL AT NNMH,45.28%,294000,NV,89431,93.75,1,1,1,0.31,Lowest,1.16
6161 W CHARLESTON BLVD,LAS VEGAS,Clark,72,SOUTHERN NEVADA ADULT MENTAL HEALTH SERVICES,42.28%,294002,NV,89146,97.74,0.9298,0.9208,1,0.56,Lowest,0.23
1240 E NINTH ST,RENO,Washoe,76,BHC WEST HILLS HOSPITAL,50.72%,294003,NV,89512,,0.9213,0.8074,1,0.05,Lowest,0.17
5975 W. TWAIN AVENUE,LAS VEGAS,Clark,88,RED ROCK BEHAVIORAL HEALTH HOSPITAL,38.74%,294008,NV,89103,100,0.9969,0.9969,1,0.01,Lowest,0
5900 WEST ROCHELLE AVENUE,LAS VEGAS,Clark,70,MONTEVISTA HOSPITAL,45.67%,294009,NV,89103,0,0.9967,0.9824,1,0.16,Lowest,0.31
5460 WEST SAHARA,LAS VEGAS,Clark,44,SPRING MOUNTAIN SAHARA,48.13%,294010,NV,89146,,0.9958,0.949,1,0.01,Lowest,0.04
7000 WEST SPRING MOUNTAIN ROAD,LAS VEGAS,Clark,77,SPRING MOUNTAIN TREATMENT CENTER,34.02%,294011,NV,89117,,0.993,0.9538,1,0.09,Lowest,0.49
3021 W HORIZON RIDGE PKWY,HENDERSON,Clark,53,SEVEN HILLS BEHAVIORAL INSTITUTE,43.33%,294012,NV,89052,,0.9866,0.9822,1,0,Lowest,0.01
3247 S MARYLAND PARKWAY,LAS VEGAS,Clark,58,DESERT PARKWAY BEHAVIORAL HEALTHCARE HOSPITAL,38.50%,294013,NV,89109,,0.2436,0.1723,1,0.05,Lowest,0.07
250 PLEASANT ST,CONCORD,Merrimack,86,CONCORD HOSPITAL,79.22%,300001,NH,03301,,0.8483,0.8294,1,0.03,Lowest,0.1
1 MEDICAL CENTER DRIVE,LEBANON,Grafton,98,MARY HITCHCOCK MEMORIAL HOSPITAL,78.34%,300003,NH,03756,,0.8554,0.7508,1,0.49,Lowest,0
80 HIGHLAND ST,LACONIA,Belknap,100,LAKES REGION GENERAL HOSPITAL,Not Available,300005,NH,03246,,0.9753,0.975,1,0,Lowest,0
1 ELLIOT WAY,MANCHESTER,Hillsborough,99,ELLIOT HOSPITAL,82.47%,300012,NH,03103,,0.7398,0.6579,1,2.32,Lowest,0.07
11 WHITEHALL ROAD,ROCHESTER,Strafford,95,FRISBIE MEMORIAL HOSPITAL,77.78%,300014,NH,03867,,1,1,1,53.57,Lowest,0
1 PARKLAND DRIVE,DERRY,Rockingham,67,PARKLAND MEDICAL CENTER,Not Available,300017,NH,03038,94.44,0.9922,0.9896,1,0,Lowest,0
580 COURT STREET,KEENE,Cheshire,89,CHESHIRE MEDICAL CENTER,75.47%,300019,NH,03431,,0.997,0.997,1,0,Lowest,0
8 PROSPECT STREET,NASHUA,Hillsborough,93,SOUTHERN NH MEDICAL CENTER,70.00%,300020,NH,03060,,1,0.7833,1,0,Lowest,0
333 BORTHWICK AVE,PORTSMOUTH,Rockingham,89,PORTSMOUTH REGIONAL HOSPITAL,65.13%,300029,NH,03801,,1,1,1,0.07,Lowest,0.04
15 AIKEN AVENUE,FRANKLIN,Merrimack,100,FRANKLIN REGIONAL HOSPITAL,76.09%,301306,NH,03235,,0.6269,0.5821,1,0.01,Lowest,0.02
36 CLINTON STREET,CONCORD,Merrimack,78,NEW HAMPSHIRE HOSPITAL,73.29%,304000,NH,03301,54.93,1,1,1,0.17,Lowest,2.4
218 EAST ROAD,HAMPSTEAD,Rockingham,76,HAMPSTEAD HOSPITAL,81.25%,304001,NH,03841,,0.8644,0.8393,1,0.13,Lowest,0.83
30 PROSPECT AVE,HACKENSACK,Bergen,75,HACKENSACK UNIVERSITY MEDICAL CENTER,71.07%,310001,NJ,07601,,0.9172,0.9172,1,0.16,Lowest,0
201 LYONS AVE,NEWARK,Essex,77,NEWARK BETH ISRAEL MEDICAL CENTER,42.31%,310002,NJ,07112,73.33,0.9954,0.9264,1,0.22,Lowest,0.22
2100 WESCOTT DRIVE,FLEMINGTON,Hunterdon,98,HUNTERDON MEDICAL CENTER,70.21%,310005,NJ,08822,,0.7974,0.7069,1,0.1,Lowest,0
718 TEANECK RD,TEANECK,Bergen,63,HOLY NAME MEDICAL CENTER,65.85%,310008,NJ,07666,,0.9971,0.9971,1,0.15,Lowest,0.16
ONE CLARA MAAS DRIVE,BELLEVILLE,Essex,100,CLARA MAASS MEDICAL CENTER,41.58%,310009,NJ,07109,,0.9832,0.9459,1,0.36,Lowest,0
ONE PLAINSBORO ROAD,PLAINSBORO,Middlesex,75,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,57.56%,310010,NJ,08536,90,0.9045,0.8522,1,0.03,Lowest,0
100 MADISON AVE,MORRISTOWN,Morris,84,MORRISTOWN MEDICAL CENTER,76.71%,310015,NJ,07962,,0.9626,0.9439,1,0.1,Lowest,0
29 EAST 29TH ST,BAYONNE,Hudson,70,BAYONNE MEDICAL CENTER,59.42%,310025,NJ,07002,,0.9788,0.9258,1,0.21,Lowest,0
225 WILLIAMSON STREET,ELIZABETH,Union,70,TRINITAS REGIONAL MEDICAL CENTER,49.74%,310027,NJ,07207,27.91,1,0.7195,1,0.62,Lowest,0.18
175 HIGH ST,NEWTON,Sussex,95,NEWTON MEDICAL CENTER,42.65%,310028,NJ,07860,,0.98,0.96,1,0.32,Lowest,0.04
1505 WEST SHERMAN AVENUE,VINELAND,Cumberland,25,INSPIRA MEDICAL CENTER VINELAND,38.71%,310032,NJ,08360,,0.1133,0.1084,1,1.32,Lowest,0.51
308 WILLOW AVE,HOBOKEN,Hudson,37,HOBOKEN UNIVERSITY MEDICAL CENTER,60.32%,310040,NJ,07030,,0.9987,0.9886,1,0.02,Lowest,0.08
350 ENGLE ST,ENGLEWOOD,Bergen,70,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,78.95%,310045,NJ,07631,,0.993,0.9649,1,0.02,Lowest,0
110 REHILL AVE,SOMERVILLE,Somerset,92,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,65.22%,310048,NJ,08876,,0.8969,0.8924,1,0,Lowest,0
25 POCONO ROAD,DENVILLE,Morris,75,SAINT CLARE'S HOSPITAL,56.55%,310050,NJ,07834,78.95,1,0.9986,1,0.39,Lowest,0.31
99 BEAUVOIR AVENUE,SUMMIT,Union,76,OVERLOOK MEDICAL CENTER,72.81%,310051,NJ,07902,,0.9434,0.9003,1,0.06,Lowest,0.03
1 BAY AVENUE,MONTCLAIR,Essex,94,HACKENSACKUMC MOUNTAINSIDE,62.42%,310054,NJ,07042,,0.9969,0.9969,1,0.14,Lowest,0.01
175 MADISON AVE,MOUNT HOLLY,Burlington,98,VIRTUA MEMORIAL,46.15%,310057,NJ,08060,,0.1419,0.099,1,0.29,Lowest,0.17
230 EAST RIDGEWOOD AVE,PARAMUS,Bergen,29,BERGEN REGIONAL MEDICAL CENTER,51.95%,310058,NJ,07652,69.01,0.9841,0.9123,1,0.31,Lowest,0.09
218A SUNSET ROAD,WILLINGBORO,Burlington,99,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,30.65%,310061,NJ,08046,86.36,0.9957,0.9657,1,0.57,Lowest,0
355 GRAND STREET,JERSEY CITY,Hudson,99,JERSEY CITY MEDICAL CENTER,63.16%,310074,NJ,07302,54.17,0.9973,0.9973,1,0,Lowest,0
300 SECOND AVENUE,LONG BRANCH,Monmouth,98,MONMOUTH MEDICAL CENTER,43.56%,310075,NJ,07740,95.35,0.9976,0.9892,1,0.11,Lowest,0.01
509 N BROAD ST,WOODBURY,Gloucester,56,INSPIRA MEDICAL CENTER WOODBURY,36.99%,310081,NJ,08096,,0.6435,0.6204,1,0.27,Lowest,0.02
300 CENTRAL AVE,EAST ORANGE,Essex,57,EAST ORANGE GENERAL HOSPITAL,23.53%,310083,NJ,07018,,1,1,1,0.69,Lowest,0.38
750 BRUNSWICK AVE,TRENTON,Mercer,78,CAPITAL HEALTH REGIONAL MEDICAL CENTER,37.98%,310092,NJ,08638,,0.9797,0.9392,1,2.23,Lowest,2.12
901 WEST MAIN STREET,FREEHOLD,Monmouth,49,CENTRASTATE MEDICAL CENTER,57.64%,310111,NJ,07728,57.69,0.9079,0.8224,1,1.05,Lowest,0.49
19 PROSPECT ST,SUMMIT,Union,56,SUMMIT OAKS HOSPITAL,43.23%,314001,NJ,07901,40,0.9751,0.9048,1,0.11,Lowest,0.1
ANCORA BRANCH,HAMMONTON,Atlantic,42,ANCORA PSYCH HOSP,29.66%,314005,NJ,08037,59.38,0.9986,0.9828,1,0.45,Lowest,0
671 HOES LANE WEST,PISCATAWAY,Middlesex,67,UNIVERSITY BEHAVIORAL HEALTH CARE,80.65%,314011,NJ,08854,0,0.9855,0.9813,1,0.07,Lowest,0.12
252 ROUTE 601,BELLE MEAD,Somerset,67,CARRIER CLINIC,52.52%,314012,NJ,08502,,0.8083,0.7598,1,0.21,Lowest,0.1
STATION A,TRENTON,Mercer,36,TRENTON PSYCHIATRIC HOSP,32.14%,314013,NJ,08625,84,0.9714,0.9592,1,0.31,Lowest,0
CENTRAL AVE,GREYSTONE PARK,Morris,32,GREYSTONE PARK PSYCH HOSP,39.76%,314016,NJ,07950,86.61,0.9839,0.8368,1,0.01,Lowest,0.02
425  WOODBURY TURNERSVILLE ROAD,BLACKWOOD,Camden,71,NORTHBROOK BEHAVIORAL HEALTH HOSPITAL,46.67%,314018,NJ,08012,0,1,1,1,0.08,Lowest,0
301 SICOMAC AVE,WYCKOFF,Bergen,Not Available,RAMAPO RIDGE PSYCH HOSP,69.18%,314019,NJ,07481,,0.9889,0.9889,1,0.01,Lowest,0.01
204 GROVE AVENUE,CEDAR GROVE,Essex,42,ESSEX COUNTY HOSPITAL CENTER,34.78%,314020,NJ,07009,82.72,0.9014,0.9014,1,0.02,Lowest,0.03
650 RANCOCAS ROAD,WESTAMPTON,Burlington,76,HAMPTON BEHAVIORAL HEALTH CENTER,54.21%,314021,NJ,08060,100,1,0.9928,1,0.03,Lowest,0.07
1691 HIGHWAY 9  -  CN2025,TOMS RIVER,Ocean,98,ST BARNABAS BEHAVIORAL HEALTH CENTER,52.53%,314022,NJ,08755,,1,0.9435,1,0.35,Lowest,0.01
P.O. BOX 6000,MOUNT HOLLY,Burlington,Not Available,ASPEN HILLS HEALTHCARE CENTER,66.67%,314023,NJ,08060,100,0.8872,0.8872,1,0,Lowest,0
595 COUNTY AVENUE,SECAUCUS,Hudson,53,HUDSON COUNTY MEADOWVIEW PSYCHIATRIC H,Not Available,314024,NJ,07094,85.42,1,1,1,0.06,Lowest,0.01
40 EAST MOUNTAIN ROAD,BELLE MEAD,Somerset,91,EAST MOUNTAIN HOSPITAL,42.86%,314026,NJ,08502,,0.91,0.7812,1,0.09,Lowest,0
40 WATCHUNG WAY,BERKELEY HEIGHTS,Union,46,CORNERSTONE BEHAVIORAL HEALTH HOSPITAL OF UNION CO,54.00%,314027,NJ,07922,83.33,0.7453,0.9104,1,0.13,Lowest,0
